         494973 function calls (486978 primitive calls) in 1.116 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:621(Misc)
        1    0.000    0.000    0.000    0.000 __init__.py:635(maxdict)
        1    0.000    0.000    0.000    0.000 __init__.py:641(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:649(get_data_path)
        1    0.000    0.000    0.000    0.000 __init__.py:655(Stack)
        1    0.000    0.000    0.001    0.001 __init__.py:666(matplotlib_fname)
        1    0.000    0.000    0.000    0.000 __init__.py:68(get_projection_names)
        4    0.000    0.000    0.001    0.000 __init__.py:687(gen_candidates)
        1    0.000    0.000    0.000    0.000 __init__.py:692(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:71(_StrongRef)
        1    0.000    0.000    0.001    0.001 __init__.py:731(RcParams)
        1    0.000    0.000    0.000    0.000 __init__.py:734(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:740(<dictcomp>)
        2    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:75(UnidentifiedImageError)
        1    0.000    0.000    0.000    0.000 __init__.py:771(Filterer)
       30    0.000    0.000    0.017    0.001 __init__.py:774(__init__)
       36    0.000    0.000    0.000    0.000 __init__.py:776(__init__)
     1789    0.005    0.000    0.038    0.000 __init__.py:777(__setitem__)
       76    0.000    0.000    0.000    0.000 __init__.py:813(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:843(_addHandlerRef)
      302    0.000    0.000    0.000    0.000 __init__.py:850(__iter__)
        1    0.000    0.000    0.000    0.000 __init__.py:853(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:862(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:874(copy)
        1    0.000    0.000    0.001    0.001 __init__.py:875(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:877(Grouper)
        1    0.000    0.000    0.012    0.012 __init__.py:878(rc_params)
       27    0.000    0.000    0.000    0.000 __init__.py:888(is_url)
        1    0.000    0.000    0.000    0.000 __init__.py:89(CallbackRegistry)
        1    0.000    0.000    0.000    0.000 __init__.py:891(createLock)
       54    0.001    0.000    0.003    0.000 __init__.py:893(_open_file_or_url)
